Date;Distributeur;CB;Total HT (5.5%);Total TVA (5.5%);Total HT (6%);Total TVA (6%);Total HT (10%);Total TVA (10%);Total HT;Total TTC
26/07/2021;We Love Pizza Gembloux;84.10;0.00;0.00;79.34;4.76;0.00;0.00;79.34;84.10
26/07/2021;[Sélection];438.20;0.00;0.00;413.45;24.75;0.00;0.00;413.45;438.20
27/07/2021;We Love Pizza 2 - Haine Saint Paul;159.10;0.00;0.00;150.12;8.98;0.00;0.00;150.12;159.10
27/07/2021;We Love Pizza Gembloux;105.60;0.00;0.00;99.64;5.96;0.00;0.00;99.64;105.60
27/07/2021;[Sélection];264.70;0.00;0.00;249.76;14.94;0.00;0.00;249.76;264.70
28/07/2021;We Love Pizza 2 - Haine Saint Paul;180.90;0.00;0.00;170.70;10.20;0.00;0.00;170.70;180.90
28/07/2021;We Love Pizza Gembloux;87.80;0.00;0.00;82.84;4.96;0.00;0.00;82.84;87.80
28/07/2021;[Sélection];268.70;0.00;0.00;253.54;15.16;0.00;0.00;253.54;268.70
29/07/2021;We Love Pizza 2 - Haine Saint Paul;76.90;0.00;0.00;72.56;4.34;0.00;0.00;72.56;76.90
29/07/2021;We Love Pizza Gembloux;47.10;0.00;0.00;44.43;2.67;0.00;0.00;44.43;47.10
29/07/2021;[Sélection];124.00;0.00;0.00;116.99;7.01;0.00;0.00;116.99;124.00
30/07/2021;We Love Pizza 2 - Haine Saint Paul;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
30/07/2021;We Love Pizza Gembloux;171.30;0.00;0.00;161.63;9.67;0.00;0.00;161.63;171.30
30/07/2021;[Sélection];171.30;0.00;0.00;161.63;9.67;0.00;0.00;161.63;171.30
31/07/2021;We Love Pizza 2 - Haine Saint Paul;20.80;0.00;0.00;19.63;1.17;0.00;0.00;19.63;20.80
31/07/2021;We Love Pizza Gembloux;245.50;0.00;0.00;231.61;13.89;0.00;0.00;231.61;245.50
31/07/2021;[Sélection];266.30;0.00;0.00;251.24;15.06;0.00;0.00;251.24;266.30
01/08/2021;We Love Pizza 2 - Haine Saint Paul;352.10;0.00;0.00;332.23;19.87;0.00;0.00;332.23;352.10
01/08/2021;We Love Pizza Gembloux;118.90;0.00;0.00;112.19;6.71;0.00;0.00;112.19;118.90
01/08/2021;[Sélection];471.00;0.00;0.00;444.42;26.58;0.00;0.00;444.42;471.00
02/08/2021;We Love Pizza 2 - Haine Saint Paul;314.50;0.00;0.00;296.75;17.75;0.00;0.00;296.75;314.50
02/08/2021;We Love Pizza Gembloux;157.90;0.00;0.00;148.99;8.91;0.00;0.00;148.99;157.90
02/08/2021;[Sélection];472.40;0.00;0.00;445.74;26.66;0.00;0.00;445.74;472.40
03/08/2021;We Love Pizza 2 - Haine Saint Paul;179.80;0.00;0.00;169.65;10.15;0.00;0.00;169.65;179.80
03/08/2021;We Love Pizza Gembloux;111.10;0.00;0.00;104.84;6.26;0.00;0.00;104.84;111.10
03/08/2021;[Sélection];290.90;0.00;0.00;274.49;16.41;0.00;0.00;274.49;290.90
04/08/2021;We Love Pizza 2 - Haine Saint Paul;193.70;0.00;0.00;182.80;10.90;0.00;0.00;182.80;193.70
04/08/2021;We Love Pizza Gembloux;185.40;0.00;0.00;174.92;10.48;0.00;0.00;174.92;185.40
04/08/2021;[Sélection];379.10;0.00;0.00;357.72;21.38;0.00;0.00;357.72;379.10
